"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.353764","213.179.201.175","10.12.223.178","UDP","60","50005  >  55038 Len=8"
"12","1.572942","213.179.201.175","10.12.223.178","UDP","60","50005  >  60052 Len=8"
"88","5.357871","213.179.201.175","10.12.223.178","UDP","60","50005  >  55038 Len=8"
"98","6.586361","213.179.201.175","10.12.223.178","UDP","60","50005  >  60052 Len=8"
"145","10.295659","213.179.201.175","10.12.223.178","UDP","615","50005  >  55038 Len=573"
"146","10.297696","213.179.201.175","10.12.223.178","UDP","615","50005  >  60052 Len=573"
"149","10.311450","213.179.201.175","10.12.223.178","UDP","370","50005  >  60052 Len=328"
"150","10.311450","213.179.201.175","10.12.223.178","UDP","370","50005  >  55038 Len=328"
"151","10.330516","213.179.201.175","10.12.223.178","UDP","371","50005  >  55038 Len=329"
"152","10.330516","213.179.201.175","10.12.223.178","UDP","371","50005  >  60052 Len=329"
"155","10.350251","213.179.201.175","10.12.223.178","UDP","376","50005  >  55038 Len=334"
"156","10.350251","213.179.201.175","10.12.223.178","UDP","376","50005  >  60052 Len=334"
"158","10.355905","213.179.201.175","10.12.223.178","UDP","60","50005  >  55038 Len=8"
"159","10.371750","213.179.201.175","10.12.223.178","UDP","375","50005  >  55038 Len=333"
"160","10.371750","213.179.201.175","10.12.223.178","UDP","375","50005  >  60052 Len=333"
"161","10.389702","213.179.201.175","10.12.223.178","UDP","388","50005  >  60052 Len=346"
"162","10.389702","213.179.201.175","10.12.223.178","UDP","388","50005  >  55038 Len=346"
"163","10.412382","213.179.201.175","10.12.223.178","UDP","402","50005  >  55038 Len=360"
"164","10.412382","213.179.201.175","10.12.223.178","UDP","402","50005  >  60052 Len=360"
"165","10.430450","213.179.201.175","10.12.223.178","UDP","419","50005  >  55038 Len=377"
"166","10.430450","213.179.201.175","10.12.223.178","UDP","419","50005  >  60052 Len=377"
"167","10.450472","213.179.201.175","10.12.223.178","UDP","423","50005  >  60052 Len=381"
"168","10.450472","213.179.201.175","10.12.223.178","UDP","423","50005  >  55038 Len=381"
"171","10.471262","213.179.201.175","10.12.223.178","UDP","419","50005  >  60052 Len=377"
"172","10.471262","213.179.201.175","10.12.223.178","UDP","419","50005  >  55038 Len=377"
"173","10.492448","213.179.201.175","10.12.223.178","UDP","421","50005  >  60052 Len=379"
"174","10.492448","213.179.201.175","10.12.223.178","UDP","421","50005  >  55038 Len=379"
"175","10.510766","213.179.201.175","10.12.223.178","UDP","419","50005  >  55038 Len=377"
"176","10.510766","213.179.201.175","10.12.223.178","UDP","419","50005  >  60052 Len=377"
"177","10.530783","213.179.201.175","10.12.223.178","UDP","424","50005  >  55038 Len=382"
"178","10.530783","213.179.201.175","10.12.223.178","UDP","424","50005  >  60052 Len=382"
"179","10.550730","213.179.201.175","10.12.223.178","UDP","428","50005  >  55038 Len=386"
"180","10.550730","213.179.201.175","10.12.223.178","UDP","428","50005  >  60052 Len=386"
"181","10.569662","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"182","10.569662","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"183","10.592497","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"184","10.592497","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"185","10.611313","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"186","10.611313","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"187","10.634903","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"188","10.634903","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"189","10.650793","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"190","10.650793","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"191","10.670537","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"192","10.670537","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"194","10.690404","213.179.201.175","10.12.223.178","UDP","392","50005  >  60052 Len=350"
"195","10.690404","213.179.201.175","10.12.223.178","UDP","392","50005  >  55038 Len=350"
"197","10.714915","213.179.201.175","10.12.223.178","UDP","393","50005  >  55038 Len=351"
"198","10.714915","213.179.201.175","10.12.223.178","UDP","393","50005  >  60052 Len=351"
"199","10.731516","213.179.201.175","10.12.223.178","UDP","390","50005  >  60052 Len=348"
"200","10.731516","213.179.201.175","10.12.223.178","UDP","390","50005  >  55038 Len=348"
"201","10.750555","213.179.201.175","10.12.223.178","UDP","401","50005  >  55038 Len=359"
"202","10.750555","213.179.201.175","10.12.223.178","UDP","401","50005  >  60052 Len=359"
"203","10.770667","213.179.201.175","10.12.223.178","UDP","399","50005  >  55038 Len=357"
"204","10.770667","213.179.201.175","10.12.223.178","UDP","399","50005  >  60052 Len=357"
"206","10.788871","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"207","10.788871","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"208","10.811497","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"209","10.811497","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"211","10.833625","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"212","10.833625","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"213","10.852905","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"214","10.852905","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"215","10.870864","213.179.201.175","10.12.223.178","UDP","392","50005  >  60052 Len=350"
"216","10.870864","213.179.201.175","10.12.223.178","UDP","392","50005  >  55038 Len=350"
"217","10.894487","213.179.201.175","10.12.223.178","UDP","389","50005  >  55038 Len=347"
"218","10.894487","213.179.201.175","10.12.223.178","UDP","389","50005  >  60052 Len=347"
"219","10.910115","213.179.201.175","10.12.223.178","UDP","392","50005  >  60052 Len=350"
"220","10.910115","213.179.201.175","10.12.223.178","UDP","392","50005  >  55038 Len=350"
"221","10.930157","213.179.201.175","10.12.223.178","UDP","394","50005  >  55038 Len=352"
"222","10.930157","213.179.201.175","10.12.223.178","UDP","394","50005  >  60052 Len=352"
"225","10.951116","213.179.201.175","10.12.223.178","UDP","397","50005  >  55038 Len=355"
"226","10.951116","213.179.201.175","10.12.223.178","UDP","397","50005  >  60052 Len=355"
"230","10.974690","213.179.201.175","10.12.223.178","UDP","396","50005  >  55038 Len=354"
"231","10.974690","213.179.201.175","10.12.223.178","UDP","396","50005  >  60052 Len=354"
"232","10.994909","213.179.201.175","10.12.223.178","UDP","394","50005  >  60052 Len=352"
"233","10.994909","213.179.201.175","10.12.223.178","UDP","394","50005  >  55038 Len=352"
"236","11.011190","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"237","11.011190","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"238","11.032015","213.179.201.175","10.12.223.178","UDP","396","50005  >  60052 Len=354"
"239","11.032015","213.179.201.175","10.12.223.178","UDP","396","50005  >  55038 Len=354"
"240","11.052490","213.179.201.175","10.12.223.178","UDP","396","50005  >  55038 Len=354"
"241","11.052490","213.179.201.175","10.12.223.178","UDP","396","50005  >  60052 Len=354"
"242","11.072105","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"243","11.072105","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"244","11.090600","213.179.201.175","10.12.223.178","UDP","404","50005  >  60052 Len=362"
"245","11.090600","213.179.201.175","10.12.223.178","UDP","404","50005  >  55038 Len=362"
"246","11.110096","213.179.201.175","10.12.223.178","UDP","395","50005  >  55038 Len=353"
"247","11.110096","213.179.201.175","10.12.223.178","UDP","395","50005  >  60052 Len=353"
"248","11.132166","213.179.201.175","10.12.223.178","UDP","392","50005  >  55038 Len=350"
"249","11.132166","213.179.201.175","10.12.223.178","UDP","392","50005  >  60052 Len=350"
"250","11.154800","213.179.201.175","10.12.223.178","UDP","382","50005  >  55038 Len=340"
"251","11.154800","213.179.201.175","10.12.223.178","UDP","382","50005  >  60052 Len=340"
"252","11.172836","213.179.201.175","10.12.223.178","UDP","388","50005  >  55038 Len=346"
"253","11.172836","213.179.201.175","10.12.223.178","UDP","388","50005  >  60052 Len=346"
"254","11.192154","213.179.201.175","10.12.223.178","UDP","384","50005  >  55038 Len=342"
"255","11.192154","213.179.201.175","10.12.223.178","UDP","384","50005  >  60052 Len=342"
"257","11.211330","213.179.201.175","10.12.223.178","UDP","397","50005  >  55038 Len=355"
"258","11.211330","213.179.201.175","10.12.223.178","UDP","397","50005  >  60052 Len=355"
"259","11.230754","213.179.201.175","10.12.223.178","UDP","389","50005  >  60052 Len=347"
"260","11.230754","213.179.201.175","10.12.223.178","UDP","389","50005  >  55038 Len=347"
"261","11.251236","213.179.201.175","10.12.223.178","UDP","398","50005  >  55038 Len=356"
"262","11.251236","213.179.201.175","10.12.223.178","UDP","398","50005  >  60052 Len=356"
"264","11.270279","213.179.201.175","10.12.223.178","UDP","399","50005  >  60052 Len=357"
"265","11.270279","213.179.201.175","10.12.223.178","UDP","399","50005  >  55038 Len=357"
