"No.","Time","Source","Destination","Protocol","Length","Info"
"6","0.459821","10.12.10.125","213.179.201.175","UDP","116","62542  >  50005 Len=74"
"8","0.782147","10.12.10.125","213.179.201.175","UDP","50","62542  >  50005 Len=8"
"25","2.823058","10.12.10.125","213.179.201.175","UDP","50","50474  >  50005 Len=8"
"82","5.781849","10.12.10.125","213.179.201.175","UDP","50","62542  >  50005 Len=8"
"105","7.823123","10.12.10.125","213.179.201.175","UDP","50","50474  >  50005 Len=8"
"134","10.782085","10.12.10.125","213.179.201.175","UDP","50","62542  >  50005 Len=8"
"169","12.049341","10.12.10.125","213.179.201.175","UDP","77","50474  >  50005 Len=35"
"172","12.072693","10.12.10.125","213.179.201.175","UDP","608","50474  >  50005 Len=566"
"174","12.088967","10.12.10.125","213.179.201.175","UDP","490","50474  >  50005 Len=448"
"177","12.107736","10.12.10.125","213.179.201.175","UDP","378","50474  >  50005 Len=336"
"180","12.127264","10.12.10.125","213.179.201.175","UDP","380","50474  >  50005 Len=338"
"182","12.147570","10.12.10.125","213.179.201.175","UDP","373","50474  >  50005 Len=331"
"184","12.167860","10.12.10.125","213.179.201.175","UDP","379","50474  >  50005 Len=337"
"186","12.187121","10.12.10.125","213.179.201.175","UDP","379","50474  >  50005 Len=337"
"188","12.208024","10.12.10.125","213.179.201.175","UDP","379","50474  >  50005 Len=337"
"190","12.227600","10.12.10.125","213.179.201.175","UDP","378","50474  >  50005 Len=336"
"192","12.248162","10.12.10.125","213.179.201.175","UDP","382","50474  >  50005 Len=340"
"194","12.268001","10.12.10.125","213.179.201.175","UDP","377","50474  >  50005 Len=335"
"196","12.287003","10.12.10.125","213.179.201.175","UDP","379","50474  >  50005 Len=337"
"198","12.307883","10.12.10.125","213.179.201.175","UDP","376","50474  >  50005 Len=334"
"200","12.327517","10.12.10.125","213.179.201.175","UDP","377","50474  >  50005 Len=335"
"202","12.347566","10.12.10.125","213.179.201.175","UDP","378","50474  >  50005 Len=336"
"204","12.367851","10.12.10.125","213.179.201.175","UDP","373","50474  >  50005 Len=331"
"206","12.387819","10.12.10.125","213.179.201.175","UDP","376","50474  >  50005 Len=334"
"208","12.406969","10.12.10.125","213.179.201.175","UDP","382","50474  >  50005 Len=340"
"210","12.428038","10.12.10.125","213.179.201.175","UDP","378","50474  >  50005 Len=336"
"212","12.451034","10.12.10.125","213.179.201.175","UDP","378","50474  >  50005 Len=336"
"215","12.467385","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"218","12.488165","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"220","12.507798","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"222","12.527970","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"224","12.547262","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"226","12.568516","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"228","12.587696","10.12.10.125","213.179.201.175","UDP","557","50474  >  50005 Len=515"
"230","12.608014","10.12.10.125","213.179.201.175","UDP","381","50474  >  50005 Len=339"
"232","12.628146","10.12.10.125","213.179.201.175","UDP","378","50474  >  50005 Len=336"
"234","12.648008","10.12.10.125","213.179.201.175","UDP","378","50474  >  50005 Len=336"
"236","12.666965","10.12.10.125","213.179.201.175","UDP","378","50474  >  50005 Len=336"
"238","12.687424","10.12.10.125","213.179.201.175","UDP","366","50474  >  50005 Len=324"
"240","12.708594","10.12.10.125","213.179.201.175","UDP","360","50474  >  50005 Len=318"
"242","12.727792","10.12.10.125","213.179.201.175","UDP","365","50474  >  50005 Len=323"
"244","12.750833","10.12.10.125","213.179.201.175","UDP","392","50474  >  50005 Len=350"
"246","12.767771","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"250","12.792177","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"252","12.807824","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"254","12.822950","10.12.10.125","213.179.201.175","UDP","50","50474  >  50005 Len=8"
"255","12.828040","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"258","12.847329","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"260","12.868108","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"262","12.887810","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"264","12.908064","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"266","12.928261","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"268","12.948196","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"270","12.967881","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"272","12.987669","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"276","13.008693","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"278","13.029972","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"282","13.047812","10.12.10.125","213.179.201.175","UDP","395","50474  >  50005 Len=353"
"285","13.068830","10.12.10.125","213.179.201.175","UDP","497","50474  >  50005 Len=455"
"288","13.087995","10.12.10.125","213.179.201.175","UDP","551","50474  >  50005 Len=509"
"290","13.107974","10.12.10.125","213.179.201.175","UDP","388","50474  >  50005 Len=346"
