"No.","Time","Source","Destination","Protocol","Length","Info"
"61","3.206135","10.12.10.125","213.179.201.175","UDP","50","51541  >  50005 Len=8"
"63","3.821229","10.12.10.125","213.179.201.175","UDP","50","49400  >  50005 Len=8"
"89","8.206343","10.12.10.125","213.179.201.175","UDP","50","51541  >  50005 Len=8"
"97","8.821608","10.12.10.125","213.179.201.175","UDP","50","49400  >  50005 Len=8"
"144","11.243318","10.12.10.125","213.179.201.175","UDP","542","51541  >  50005 Len=500"
"147","11.262152","10.12.10.125","213.179.201.175","UDP","356","51541  >  50005 Len=314"
"149","11.283182","10.12.10.125","213.179.201.175","UDP","492","51541  >  50005 Len=450"
"153","11.303312","10.12.10.125","213.179.201.175","UDP","402","51541  >  50005 Len=360"
"155","11.322779","10.12.10.125","213.179.201.175","UDP","420","51541  >  50005 Len=378"
"157","11.344899","10.12.10.125","213.179.201.175","UDP","452","51541  >  50005 Len=410"
"159","11.365154","10.12.10.125","213.179.201.175","UDP","409","51541  >  50005 Len=367"
"161","11.382201","10.12.10.125","213.179.201.175","UDP","407","51541  >  50005 Len=365"
"163","11.402577","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"165","11.423358","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"167","11.443229","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"169","11.462430","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"171","11.483008","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"173","11.502124","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"175","11.522556","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"177","11.543400","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"179","11.563073","10.12.10.125","213.179.201.175","UDP","392","51541  >  50005 Len=350"
"181","11.585833","10.12.10.125","213.179.201.175","UDP","398","51541  >  50005 Len=356"
"183","11.602803","10.12.10.125","213.179.201.175","UDP","391","51541  >  50005 Len=349"
"185","11.622575","10.12.10.125","213.179.201.175","UDP","399","51541  >  50005 Len=357"
"187","11.641627","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"189","11.662373","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"191","11.683388","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"193","11.702603","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"195","11.721957","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"197","11.742095","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"199","11.762318","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"203","11.782310","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"206","11.802632","10.12.10.125","213.179.201.175","UDP","373","51541  >  50005 Len=331"
"209","11.821927","10.12.10.125","213.179.201.175","UDP","417","51541  >  50005 Len=375"
"211","11.843117","10.12.10.125","213.179.201.175","UDP","356","51541  >  50005 Len=314"
"213","11.862893","10.12.10.125","213.179.201.175","UDP","380","51541  >  50005 Len=338"
"215","11.882453","10.12.10.125","213.179.201.175","UDP","385","51541  >  50005 Len=343"
"217","11.902958","10.12.10.125","213.179.201.175","UDP","394","51541  >  50005 Len=352"
"219","11.925931","10.12.10.125","213.179.201.175","UDP","392","51541  >  50005 Len=350"
"221","11.943041","10.12.10.125","213.179.201.175","UDP","390","51541  >  50005 Len=348"
"223","11.962124","10.12.10.125","213.179.201.175","UDP","437","51541  >  50005 Len=395"
"225","11.982985","10.12.10.125","213.179.201.175","UDP","390","51541  >  50005 Len=348"
"227","12.002508","10.12.10.125","213.179.201.175","UDP","431","51541  >  50005 Len=389"
"229","12.023358","10.12.10.125","213.179.201.175","UDP","376","51541  >  50005 Len=334"
"231","12.047519","10.12.10.125","213.179.201.175","UDP","414","51541  >  50005 Len=372"
"234","12.063126","10.12.10.125","213.179.201.175","UDP","334","51541  >  50005 Len=292"
"238","12.082353","10.12.10.125","213.179.201.175","UDP","314","51541  >  50005 Len=272"
"240","12.103239","10.12.10.125","213.179.201.175","UDP","323","51541  >  50005 Len=281"
"243","12.123127","10.12.10.125","213.179.201.175","UDP","322","51541  >  50005 Len=280"
"247","12.142562","10.12.10.125","213.179.201.175","UDP","362","51541  >  50005 Len=320"
"249","12.163069","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"251","12.182245","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"254","12.202968","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"256","12.222116","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"258","12.242160","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"260","12.262392","10.12.10.125","213.179.201.175","UDP","395","51541  >  50005 Len=353"
"262","12.283210","10.12.10.125","213.179.201.175","UDP","553","51541  >  50005 Len=511"
"264","12.302444","10.12.10.125","213.179.201.175","UDP","354","51541  >  50005 Len=312"
"269","12.322640","10.12.10.125","213.179.201.175","UDP","543","51541  >  50005 Len=501"
"271","12.342908","10.12.10.125","213.179.201.175","UDP","368","51541  >  50005 Len=326"
"273","12.362178","10.12.10.125","213.179.201.175","UDP","349","51541  >  50005 Len=307"
"275","12.386501","10.12.10.125","213.179.201.175","UDP","361","51541  >  50005 Len=319"
"278","12.403002","10.12.10.125","213.179.201.175","UDP","380","51541  >  50005 Len=338"
"280","12.422776","10.12.10.125","213.179.201.175","UDP","412","51541  >  50005 Len=370"
