"No.","Time","Source","Destination","Protocol","Length","Info"
"49","3.656990","10.12.10.125","213.179.201.175","UDP","50","63503  >  50005 Len=8"
"55","4.189971","10.12.10.125","213.179.201.175","UDP","50","52084  >  50005 Len=8"
"101","8.657268","10.12.10.125","213.179.201.175","UDP","50","63503  >  50005 Len=8"
"107","9.190433","10.12.10.125","213.179.201.175","UDP","50","52084  >  50005 Len=8"
"156","12.176422","10.12.10.125","213.179.201.175","UDP","77","52084  >  50005 Len=35"
"159","12.199520","10.12.10.125","213.179.201.175","UDP","608","52084  >  50005 Len=566"
"161","12.216285","10.12.10.125","213.179.201.175","UDP","490","52084  >  50005 Len=448"
"165","12.235368","10.12.10.125","213.179.201.175","UDP","378","52084  >  50005 Len=336"
"167","12.255532","10.12.10.125","213.179.201.175","UDP","380","52084  >  50005 Len=338"
"169","12.276136","10.12.10.125","213.179.201.175","UDP","373","52084  >  50005 Len=331"
"171","12.296154","10.12.10.125","213.179.201.175","UDP","379","52084  >  50005 Len=337"
"173","12.316047","10.12.10.125","213.179.201.175","UDP","379","52084  >  50005 Len=337"
"175","12.335505","10.12.10.125","213.179.201.175","UDP","379","52084  >  50005 Len=337"
"177","12.356138","10.12.10.125","213.179.201.175","UDP","378","52084  >  50005 Len=336"
"179","12.375855","10.12.10.125","213.179.201.175","UDP","382","52084  >  50005 Len=340"
"181","12.395644","10.12.10.125","213.179.201.175","UDP","377","52084  >  50005 Len=335"
"183","12.415809","10.12.10.125","213.179.201.175","UDP","379","52084  >  50005 Len=337"
"185","12.435203","10.12.10.125","213.179.201.175","UDP","376","52084  >  50005 Len=334"
"187","12.455598","10.12.10.125","213.179.201.175","UDP","377","52084  >  50005 Len=335"
"189","12.476089","10.12.10.125","213.179.201.175","UDP","378","52084  >  50005 Len=336"
"192","12.495936","10.12.10.125","213.179.201.175","UDP","373","52084  >  50005 Len=331"
"195","12.515031","10.12.10.125","213.179.201.175","UDP","376","52084  >  50005 Len=334"
"197","12.535925","10.12.10.125","213.179.201.175","UDP","382","52084  >  50005 Len=340"
"199","12.557796","10.12.10.125","213.179.201.175","UDP","378","52084  >  50005 Len=336"
"202","12.579019","10.12.10.125","213.179.201.175","UDP","378","52084  >  50005 Len=336"
"205","12.595211","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
"207","12.615472","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
"209","12.635809","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
"211","12.655355","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
"213","12.675250","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
"215","12.696280","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
"217","12.716202","10.12.10.125","213.179.201.175","UDP","557","52084  >  50005 Len=515"
"219","12.735351","10.12.10.125","213.179.201.175","UDP","381","52084  >  50005 Len=339"
"223","12.756522","10.12.10.125","213.179.201.175","UDP","378","52084  >  50005 Len=336"
"225","12.776065","10.12.10.125","213.179.201.175","UDP","378","52084  >  50005 Len=336"
"229","12.795974","10.12.10.125","213.179.201.175","UDP","378","52084  >  50005 Len=336"
"231","12.815012","10.12.10.125","213.179.201.175","UDP","366","52084  >  50005 Len=324"
"233","12.835193","10.12.10.125","213.179.201.175","UDP","360","52084  >  50005 Len=318"
"235","12.856120","10.12.10.125","213.179.201.175","UDP","365","52084  >  50005 Len=323"
"237","12.876165","10.12.10.125","213.179.201.175","UDP","392","52084  >  50005 Len=350"
"239","12.896164","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
"241","12.919468","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
"243","12.935603","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
"247","12.955900","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
"249","12.975628","10.12.10.125","213.179.201.175","UDP","395","52084  >  50005 Len=353"
